Id;ActivityHour;Date;Hour;TotalIntensity;AverageIntensity
1503960366;5/05/2016 7:00;5/05/2016 0:00;7:00:00 a. m.;3;0.05
1503960366;5/05/2016 8:00;5/05/2016 0:00;8:00:00 a. m.;10;0.166667
1503960366;5/05/2016 9:00;5/05/2016 0:00;9:00:00 a. m.;26;0.433333
1503960366;5/05/2016 10:00;5/05/2016 0:00;10:00:00 a. m.;15;0.25
1503960366;5/05/2016 11:00;5/05/2016 0:00;11:00:00 a. m.;4;0.066667
1503960366;5/05/2016 12:00;5/05/2016 0:00;12:00:00 p. m.;13;0.216667
1503960366;5/05/2016 13:00;5/05/2016 0:00;1:00:00 p. m.;21;0.35
1503960366;5/05/2016 14:00;5/05/2016 0:00;2:00:00 p. m.;12;0.2
1503960366;5/05/2016 15:00;5/05/2016 0:00;3:00:00 p. m.;14;0.233333
1503960366;5/05/2016 16:00;5/05/2016 0:00;4:00:00 p. m.;21;0.35
1503960366;5/05/2016 17:00;5/05/2016 0:00;5:00:00 p. m.;70;1.166.667
1503960366;5/05/2016 18:00;5/05/2016 0:00;6:00:00 p. m.;30;0.5
1503960366;5/05/2016 19:00;5/05/2016 0:00;7:00:00 p. m.;20;0.333333
1503960366;5/05/2016 20:00;5/05/2016 0:00;8:00:00 p. m.;19;0.316667
1503960366;5/05/2016 21:00;5/05/2016 0:00;9:00:00 p. m.;113;1.883.333
1503960366;5/05/2016 22:00;5/05/2016 0:00;10:00:00 p. m.;17;0.283333
1503960366;5/05/2016 23:00;5/05/2016 0:00;11:00:00 p. m.;6;0.1
1503960366;5/06/2016 0:00;5/06/2016 0:00;12:00:00 a. m.;12;0.2
1503960366;5/06/2016 1:00;5/06/2016 0:00;1:00:00 a. m.;1;0.016667
1503960366;5/06/2016 2:00;5/06/2016 0:00;2:00:00 a. m.;7;0.116667
1503960366;5/06/2016 3:00;5/06/2016 0:00;3:00:00 a. m.;0;0
1503960366;5/06/2016 4:00;5/06/2016 0:00;4:00:00 a. m.;1;0.016667
1503960366;5/06/2016 5:00;5/06/2016 0:00;5:00:00 a. m.;0;0
1503960366;5/06/2016 6:00;5/06/2016 0:00;6:00:00 a. m.;0;0
1503960366;5/06/2016 7:00;5/06/2016 0:00;7:00:00 a. m.;3;0.05
1503960366;5/06/2016 8:00;5/06/2016 0:00;8:00:00 a. m.;9;0.15
1503960366;5/06/2016 9:00;5/06/2016 0:00;9:00:00 a. m.;29;0.483333
1503960366;5/06/2016 10:00;5/06/2016 0:00;10:00:00 a. m.;20;0.333333
1503960366;5/06/2016 11:00;5/06/2016 0:00;11:00:00 a. m.;6;0.1
1503960366;5/06/2016 12:00;5/06/2016 0:00;12:00:00 p. m.;13;0.216667
1503960366;5/06/2016 13:00;5/06/2016 0:00;1:00:00 p. m.;10;0.166667
1503960366;5/06/2016 14:00;5/06/2016 0:00;2:00:00 p. m.;15;0.25
1503960366;5/06/2016 15:00;5/06/2016 0:00;3:00:00 p. m.;27;0.45
1503960366;5/06/2016 16:00;5/06/2016 0:00;4:00:00 p. m.;17;0.283333
1503960366;5/06/2016 17:00;5/06/2016 0:00;5:00:00 p. m.;13;0.216667
1503960366;5/06/2016 18:00;5/06/2016 0:00;6:00:00 p. m.;28;0.466667
1503960366;5/06/2016 19:00;5/06/2016 0:00;7:00:00 p. m.;55;0.916667
1503960366;5/06/2016 20:00;5/06/2016 0:00;8:00:00 p. m.;16;0.266667
1503960366;5/06/2016 21:00;5/06/2016 0:00;9:00:00 p. m.;20;0.333333
1503960366;5/06/2016 22:00;5/06/2016 0:00;10:00:00 p. m.;19;0.316667
1503960366;5/06/2016 23:00;5/06/2016 0:00;11:00:00 p. m.;52;0.866667
1503960366;5/07/2016 0:00;5/07/2016 0:00;12:00:00 a. m.;9;0.15
1503960366;5/07/2016 1:00;5/07/2016 0:00;1:00:00 a. m.;0;0
1503960366;5/07/2016 2:00;5/07/2016 0:00;2:00:00 a. m.;2;0.033333
1503960366;5/07/2016 3:00;5/07/2016 0:00;3:00:00 a. m.;0;0
1503960366;5/07/2016 4:00;5/07/2016 0:00;4:00:00 a. m.;0;0
1503960366;5/07/2016 5:00;5/07/2016 0:00;5:00:00 a. m.;0;0
1503960366;5/07/2016 6:00;5/07/2016 0:00;6:00:00 a. m.;0;0
1503960366;5/07/2016 7:00;5/07/2016 0:00;7:00:00 a. m.;0;0
1503960366;5/07/2016 8:00;5/07/2016 0:00;8:00:00 a. m.;9;0.15
1503960366;5/07/2016 9:00;5/07/2016 0:00;9:00:00 a. m.;7;0.116667
1503960366;5/07/2016 10:00;5/07/2016 0:00;10:00:00 a. m.;46;0.766667
1503960366;5/07/2016 11:00;5/07/2016 0:00;11:00:00 a. m.;59;0.983333
1503960366;5/07/2016 12:00;5/07/2016 0:00;12:00:00 p. m.;6;0.1
1503960366;5/07/2016 13:00;5/07/2016 0:00;1:00:00 p. m.;2;0.033333
1503960366;5/07/2016 14:00;5/07/2016 0:00;2:00:00 p. m.;9;0.15
1503960366;5/07/2016 15:00;5/07/2016 0:00;3:00:00 p. m.;4;0.066667
1503960366;5/07/2016 16:00;5/07/2016 0:00;4:00:00 p. m.;10;0.166667
1503960366;5/07/2016 17:00;5/07/2016 0:00;5:00:00 p. m.;6;0.1
1503960366;5/07/2016 18:00;5/07/2016 0:00;6:00:00 p. m.;13;0.216667
1503960366;5/07/2016 19:00;5/07/2016 0:00;7:00:00 p. m.;21;0.35
1503960366;5/07/2016 20:00;5/07/2016 0:00;8:00:00 p. m.;3;0.05
1503960366;5/07/2016 21:00;5/07/2016 0:00;9:00:00 p. m.;61;1.016.667
1503960366;5/07/2016 22:00;5/07/2016 0:00;10:00:00 p. m.;108;1.8
1503960366;5/07/2016 23:00;5/07/2016 0:00;11:00:00 p. m.;3;0.05
1503960366;5/08/2016 0:00;5/08/2016 0:00;12:00:00 a. m.;8;0.133333
1503960366;5/08/2016 1:00;5/08/2016 0:00;1:00:00 a. m.;0;0
1503960366;5/08/2016 2:00;5/08/2016 0:00;2:00:00 a. m.;0;0
1503960366;5/08/2016 3:00;5/08/2016 0:00;3:00:00 a. m.;0;0
1503960366;5/08/2016 4:00;5/08/2016 0:00;4:00:00 a. m.;1;0.016667
1503960366;5/08/2016 5:00;5/08/2016 0:00;5:00:00 a. m.;0;0
1503960366;5/08/2016 6:00;5/08/2016 0:00;6:00:00 a. m.;1;0.016667
1503960366;5/08/2016 7:00;5/08/2016 0:00;7:00:00 a. m.;0;0
1503960366;5/08/2016 8:00;5/08/2016 0:00;8:00:00 a. m.;0;0
1503960366;5/08/2016 9:00;5/08/2016 0:00;9:00:00 a. m.;0;0
1503960366;5/08/2016 10:00;5/08/2016 0:00;10:00:00 a. m.;0;0
1503960366;5/08/2016 11:00;5/08/2016 0:00;11:00:00 a. m.;0;0
1503960366;5/08/2016 12:00;5/08/2016 0:00;12:00:00 p. m.;22;0.366667
1503960366;5/08/2016 13:00;5/08/2016 0:00;1:00:00 p. m.;8;0.133333
1503960366;5/08/2016 14:00;5/08/2016 0:00;2:00:00 p. m.;30;0.5
1503960366;5/08/2016 15:00;5/08/2016 0:00;3:00:00 p. m.;10;0.166667
1503960366;5/08/2016 16:00;5/08/2016 0:00;4:00:00 p. m.;5;0.083333
1503960366;5/08/2016 17:00;5/08/2016 0:00;5:00:00 p. m.;14;0.233333
1503960366;5/08/2016 18:00;5/08/2016 0:00;6:00:00 p. m.;115;1.916.667
1503960366;5/08/2016 19:00;5/08/2016 0:00;7:00:00 p. m.;36;0.6
1503960366;5/08/2016 20:00;5/08/2016 0:00;8:00:00 p. m.;28;0.466667
1503960366;5/08/2016 21:00;5/08/2016 0:00;9:00:00 p. m.;33;0.55
1503960366;5/08/2016 22:00;5/08/2016 0:00;10:00:00 p. m.;29;0.483333
1503960366;5/08/2016 23:00;5/08/2016 0:00;11:00:00 p. m.;11;0.183333
1503960366;5/09/2016 0:00;5/09/2016 0:00;12:00:00 a. m.;9;0.15
